group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
DIS CC	NTVNBDMNFe_dw	0	11.80452078599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DIS CC	NTVNBDMNFe_dw	1	12.16483616888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DIS CC	NTVNBDMNFe_dw	2	11.04737081105	6.82324	6.848381	8.012703	6.0173454	4.6159935	5.6593494	8.330368	6.0095196	5.50688	6.4998245	8.370388	7.625393	6.7175293	6.6281815	6.438078	6.696287	6.5507317	7.96043	5.130108	6.4462757	8.331974	4.636402	5.816841	7.184271	7.22703	5.1417236	8.087975	5.812607	6.7771873	6.564436	7.867697	5.6974163	7.7009506	5.00185	9.197968	6.5705376	7.3487415	7.0907974	5.863737	6.442068	7.828871	7.8565865	7.8131714	5.9010715	5.8726997	7.957344	6.193409	7.524664	8.406286	7.347561	6.884119	7.559025	6.97834	7.332821	6.519802	7.3365307	7.098341	6.0429077	7.0344734	8.268934	6.4088974	5.9482784	6.67889	7.8263016	7.2676353	6.202305	7.0907974	6.35635	7.6289387	5.730007	7.119936	7.969887	7.0830956	7.001404	5.9557514	7.440716	7.1547394	7.1986427	6.2331924	7.17725	5.8541145	7.828041	7.0484886	7.7807198	5.76161	6.0231934	7.5700397	6.8876534	7.766136	5.8873653	4.5629826	8.579292	5.1889687	8.082432	7.570513	6.434017	7.325714	5.9849186	6.455288	7.0745544	5.0019817
DIS CC	NTVNBDMNFe_dw	3	8.644196942431	5.2493052	5.131691	5.691455	5.299945	3.7418294	5.006405	7.1309605	4.606571	3.8584433	5.1596494	6.31015	5.6810575	5.427366	4.9149265	4.8861117	4.826452	5.3684597	6.338464	4.432896	5.16455	5.861517	4.067625	4.079682	4.5564265	4.550082	3.8322067	5.6393247	4.6699004	5.995416	4.8624597	5.7227535	4.535651	5.930634	4.061703	6.699233	4.8349442	5.9131355	4.707135	5.050356	5.538116	6.460582	6.014051	6.0345287	4.379473	4.2063375	6.126272	3.986588	5.9684343	6.0752997	5.6040154	4.8515387	5.7665	5.3350825	5.822801	5.3779616	5.4519715	5.617217	4.872271	6.1577682	5.7353806	4.7377067	4.9312873	5.015229	5.992192	5.345642	3.8677197	4.707135	4.675963	5.9613643	4.578169	5.6035876	6.3930616	5.1314206	5.582261	5.036725	5.6790524	5.4470434	5.486517	4.869848	5.4241977	4.2706604	6.1787314	5.007837	6.209352	4.4544754	5.128768	5.8665094	5.0041866	5.969375	4.8879504	3.6553407	7.1078043	4.6384406	5.612959	6.3016734	4.7505245	5.4159636	5.591528	4.9046025	5.0442696	4.533786
DIS CC	NTVNBDMNFe_dw	4	2.552783687296	2.7006137	2.9518394	2.095787	2.8310986	2.6724777	2.5738068	4.110672	2.7248363	1.595892	2.8423328	2.9937458	2.8175774	3.037098	3.202734	2.553257	2.680256	3.051571	2.209015	3.3146935	2.9532356	2.4288807	2.8013802	2.77569	2.7196236	3.650051	2.3520012	2.134426	3.289444	2.774393	1.6235332	2.129818	2.0527973	2.8520622	2.5421295	3.0627003	2.5620632	3.1666985	1.9800091	2.851143	2.1163292	3.958189	3.2030125	3.6102753	2.2325668	2.5809212	3.3861732	2.86545	3.3143482	2.5609722	2.220337	2.5391426	3.078209	2.7049599	2.4655285	3.1042156	3.1435375	2.4063435	2.6700916	3.5519772	2.5210056	1.9466667	2.6674538	2.888565	2.357729	2.4268703	2.441677	1.9800091	2.3635197	2.9640522	3.5164337	2.66432	2.9335308	2.0819397	2.8150616	2.413683	2.3430538	2.4432793	2.415327	2.662859	2.7043629	2.6166801	3.18997	2.1335278	2.7435532	2.1496506	3.1156445	2.2899818	3.0730896	2.5099735	2.2797108	2.0948448	3.154398	3.352974	1.7708797	3.391039	2.5791492	2.4442768	3.0074444	2.6448898	2.4372787	2.857645
DIS CC	NTVNBDMNFe_dw	5	9.165662429768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DIS CC	NTVNBDMNFe_dw	6	10.42862087181	9.807802	10.650139	10.4728775	8.939139	7.87805	7.576996	11.202499	9.239536	7.932667	9.156414	11.805199	11.169031	9.850149	10.079531	8.651842	10.453392	9.188708	10.719189	9.205368	8.868405	11.660553	8.685741	9.989246	10.80352	10.890585	8.383251	11.660902	9.4965725	9.025923	8.974589	10.395405	9.176043	10.14954	7.6916304	11.494623	10.248489	10.326275	10.651953	8.739091	8.404822	9.876495	9.959461	11.362221	8.524805	8.736205	10.292011	10.625586	10.447435	11.948862	9.850367	10.521967	10.380419	9.607374	10.120569	9.363146	11.332464	10.317905	9.015997	8.504213	11.133316	9.840775	9.041365	10.21151	10.757832	10.478788	10.668892	10.651953	10.322266	9.737091	9.138418	9.310642	10.828766	9.708603	9.878286	8.08199	9.694202	9.984985	9.703468	8.753452	10.057457	9.033707	10.633337	9.283979	10.742638	8.5393715	9.041964	9.918232	11.5878105	10.469597	8.887087	7.901449	10.818163	8.95579	11.083645	10.251343	9.480864	10.415043	8.940271	9.570862	9.917183	6.6484156
DIS CC	NTVNBDMNFe_dw	7	11.47526161491	8.379919	8.715424	9.168829	7.6130924	6.1366005	6.979845	9.879759	7.256813	7.173168	7.7031765	10.209711	9.430967	8.052774	8.084681	7.792034	8.63497	8.081314	9.433315	6.580414	7.9764423	9.888769	6.7207947	7.834282	9.144411	8.927956	6.9331226	9.6804085	7.553068	8.069855	8.074741	9.189177	7.20142	9.217321	6.52981	10.421476	8.49453	8.952589	8.994955	7.4989853	7.6542187	8.69289	9.090836	9.553448	7.3892727	7.566021	9.060759	8.222778	9.005577	10.102341	8.623287	8.573208	9.12957	8.54464	9.279053	8.1673565	9.234028	8.798431	7.725975	8.087711	9.525118	8.19816	7.4833527	8.449663	9.199961	8.870382	7.9225616	8.994955	8.184845	9.038158	7.5322933	8.493425	9.343578	8.702566	8.50223	7.300066	8.786411	8.746153	8.596054	7.7171707	8.894201	7.545662	9.267902	8.545605	9.275579	7.3690987	7.4393578	8.743803	8.948835	9.074959	7.6669006	6.444063	9.8434925	6.9521294	9.472036	8.913858	7.9370327	8.981213	7.6614933	8.081404	8.326147	6.2876244
DIS CC	NTVNBDMNFe_dw	8	6.036467631028	5.936701	5.905496	6.280039	5.8847284	4.197176	5.521023	7.716357	4.8796473	4.938999	5.5746245	7.196775	6.489105	5.819698	5.468778	5.5915003	5.766616	6.0722246	7.076728	4.6683	5.83011	6.6938453	4.813428	4.9702053	5.5346074	5.460656	4.656377	6.4698505	5.321948	6.5306845	5.6840715	6.442506	5.0352325	6.7022686	4.6028795	7.377781	5.703763	6.587129	5.6056795	5.711109	5.9624834	6.670766	6.637376	6.796675	5.122613	5.1350584	6.6378326	4.9170523	6.556488	6.948169	6.1909046	5.636733	6.4927125	6.0842376	6.817645	6.1317463	6.2312136	6.408249	5.668474	6.5480223	6.5157223	5.6230793	5.42902	5.8076725	6.6329336	6.1310754	4.726016	5.6056795	5.376692	6.6443033	5.308462	6.291904	6.865784	5.978798	6.150352	5.601083	6.4378996	6.2015777	6.1259966	5.5077047	6.312169	5.084815	6.8196187	5.842556	6.872093	5.1450057	5.6180806	6.4382086	5.6814528	6.4943438	5.6271	4.470303	7.5632806	5.2570057	6.355572	6.774776	5.446068	6.2362885	5.9844065	5.5941124	5.741748	4.972967
DIS CC	NTVNBDMNFe_dw	9	3.094278990413	2.6049032	2.8191862	1.9735947	2.8791342	2.2810202	2.5144653	3.9982324	2.4799414	1.4762917	2.5615244	3.0270061	2.788478	2.834588	2.8365793	2.2409878	2.4650326	2.8835487	2.415597	2.9806223	2.8592873	2.3842802	2.6306982	2.3994455	2.5348501	2.9552898	2.1739264	2.275753	3.1125422	2.925004	1.7758646	2.171504	2.0640287	2.8274355	2.367467	2.92163	2.2865667	3.1181679	1.6304531	2.8400087	2.3660793	3.9570537	3.1710043	3.362728	2.0836163	2.2378435	3.1049404	2.6558523	3.2147303	2.587634	2.2335825	2.4242887	2.8144302	2.519744	2.4352303	3.0606384	2.911365	2.4272957	2.4317818	3.3079758	2.4953318	1.9457674	2.5514288	2.7481585	2.4979439	2.4789906	2.1844645	1.6304531	2.2524595	2.8643913	3.2650928	2.7824154	3.0103884	2.0523815	2.81855	2.3949757	2.4103622	2.5269156	2.3427734	2.585661	2.6071014	2.4664545	3.342105	2.0782108	2.8132057	2.073166	3.009099	2.4192934	3.034772	2.5177746	2.3098774	2.1106777	3.1809711	3.3147278	1.7878313	3.286724	2.2459917	2.5543928	2.9341545	2.5633993	2.3432846	2.6403675
